NOME,TIPO1,TIPO2,FRAQUEZAS_TIPO1,IMUNIDADES_TIPO1,VANTAGENS_TIPO1,FRAQUEZAS_TIPO2,IMUNIDADES_TIPO2,VANTAGENS_TIPO2,EFETIVIDADES,FRAQUEZAS,RESISTENCIAS,IMUNIDADES
Tauros,Normal,,['Fighting'],['Ghost'],,,,,"{'Normal': 1.0, 'Fire': 1.0, 'Water': 1.0, 'Electric': 1.0, 'Grass': 1.0, 'Ice': 1.0, 'Fighting': 2.0, 'Poison': 1.0, 'Ground': 1.0, 'Flying': 1.0, 'Psychic': 1.0, 'Bug': 1.0, 'Rock': 1.0, 'Ghost': 0.0, 'Dragon': 1.0, 'Dark': 1.0, 'Steel': 1.0, 'Fairy': 1.0}",['Fighting'],[],['Ghost']
Tauros Combat  Breed,Fighting,,"['Flying', 'Psychic', 'Fairy']",,"['Bug', 'Rock', 'Dark']",,,,"{'Normal': 1.0, 'Fire': 1.0, 'Water': 1.0, 'Electric': 1.0, 'Grass': 1.0, 'Ice': 1.0, 'Fighting': 1.0, 'Poison': 1.0, 'Ground': 1.0, 'Flying': 2.0, 'Psychic': 2.0, 'Bug': 0.5, 'Rock': 0.5, 'Ghost': 1.0, 'Dragon': 1.0, 'Dark': 0.5, 'Steel': 1.0, 'Fairy': 2.0}","['Flying', 'Psychic', 'Fairy']","['Bug', 'Rock', 'Dark']",[]
Tauros Blaze  Breed,Fighting,Fire,"['Flying', 'Psychic', 'Fairy']",,"['Bug', 'Rock', 'Dark']","['Water', 'Ground', 'Rock']",,"['Fire', 'Grass', 'Ice', 'Bug', 'Steel', 'Fairy']","{'Normal': 1.0, 'Fire': 0.5, 'Water': 2.0, 'Electric': 1.0, 'Grass': 0.5, 'Ice': 0.5, 'Fighting': 1.0, 'Poison': 1.0, 'Ground': 2.0, 'Flying': 2.0, 'Psychic': 2.0, 'Bug': 0.25, 'Rock': 1.0, 'Ghost': 1.0, 'Dragon': 1.0, 'Dark': 0.5, 'Steel': 0.5, 'Fairy': 1.0}","['Water', 'Ground', 'Flying', 'Psychic']","['Fire', 'Grass', 'Ice', 'Bug', 'Dark', 'Steel']",[]
Tauros Aqua  Breed,Fighting,Water,"['Flying', 'Psychic', 'Fairy']",,"['Bug', 'Rock', 'Dark']","['Electric', 'Grass']",,"['Fire', 'Water', 'Ice', 'Steel']","{'Normal': 1.0, 'Fire': 0.5, 'Water': 0.5, 'Electric': 2.0, 'Grass': 2.0, 'Ice': 0.5, 'Fighting': 1.0, 'Poison': 1.0, 'Ground': 1.0, 'Flying': 2.0, 'Psychic': 2.0, 'Bug': 0.5, 'Rock': 0.5, 'Ghost': 1.0, 'Dragon': 1.0, 'Dark': 0.5, 'Steel': 0.5, 'Fairy': 2.0}","['Electric', 'Grass', 'Flying', 'Psychic', 'Fairy']","['Fire', 'Water', 'Ice', 'Bug', 'Rock', 'Dark', 'Steel']",[]
Magikarp,Water,,"['Electric', 'Grass']",,"['Fire', 'Water', 'Ice', 'Steel']",,,,"{'Normal': 1.0, 'Fire': 0.5, 'Water': 0.5, 'Electric': 2.0, 'Grass': 2.0, 'Ice': 0.5, 'Fighting': 1.0, 'Poison': 1.0, 'Ground': 1.0, 'Flying': 1.0, 'Psychic': 1.0, 'Bug': 1.0, 'Rock': 1.0, 'Ghost': 1.0, 'Dragon': 1.0, 'Dark': 1.0, 'Steel': 0.5, 'Fairy': 1.0}","['Electric', 'Grass']","['Fire', 'Water', 'Ice', 'Steel']",[]
Gyarados,Water,Flying,"['Electric', 'Grass']",,"['Fire', 'Water', 'Ice', 'Steel']","['Electric', 'Ice', 'Rock']",['Ground'],"['Grass', 'Fighting', 'Bug']","{'Normal': 1.0, 'Fire': 0.5, 'Water': 0.5, 'Electric': 4.0, 'Grass': 1.0, 'Ice': 1.0, 'Fighting': 0.5, 'Poison': 1.0, 'Ground': 0.0, 'Flying': 1.0, 'Psychic': 1.0, 'Bug': 0.5, 'Rock': 2.0, 'Ghost': 1.0, 'Dragon': 1.0, 'Dark': 1.0, 'Steel': 0.5, 'Fairy': 1.0}","['Electric', 'Rock']","['Fire', 'Water', 'Fighting', 'Bug', 'Steel']",['Ground']
Gyarados Mega  Gyarados,Water,Dark,"['Electric', 'Grass']",,"['Fire', 'Water', 'Ice', 'Steel']","['Fighting', 'Bug', 'Fairy']",['Psychic'],"['Ghost', 'Dark']","{'Normal': 1.0, 'Fire': 0.5, 'Water': 0.5, 'Electric': 2.0, 'Grass': 2.0, 'Ice': 0.5, 'Fighting': 2.0, 'Poison': 1.0, 'Ground': 1.0, 'Flying': 1.0, 'Psychic': 0.0, 'Bug': 2.0, 'Rock': 1.0, 'Ghost': 0.5, 'Dragon': 1.0, 'Dark': 0.5, 'Steel': 0.5, 'Fairy': 2.0}","['Electric', 'Grass', 'Fighting', 'Bug', 'Fairy']","['Fire', 'Water', 'Ice', 'Ghost', 'Dark', 'Steel']",['Psychic']
Lapras,Water,Ice,"['Electric', 'Grass']",,"['Fire', 'Water', 'Ice', 'Steel']","['Fire', 'Fighting', 'Rock', 'Steel']",,['Ice'],"{'Normal': 1.0, 'Fire': 1.0, 'Water': 0.5, 'Electric': 2.0, 'Grass': 2.0, 'Ice': 0.25, 'Fighting': 2.0, 'Poison': 1.0, 'Ground': 1.0, 'Flying': 1.0, 'Psychic': 1.0, 'Bug': 1.0, 'Rock': 2.0, 'Ghost': 1.0, 'Dragon': 1.0, 'Dark': 1.0, 'Steel': 1.0, 'Fairy': 1.0}","['Electric', 'Grass', 'Fighting', 'Rock']","['Water', 'Ice']",[]
Ditto,Normal,,['Fighting'],['Ghost'],,,,,"{'Normal': 1.0, 'Fire': 1.0, 'Water': 1.0, 'Electric': 1.0, 'Grass': 1.0, 'Ice': 1.0, 'Fighting': 2.0, 'Poison': 1.0, 'Ground': 1.0, 'Flying': 1.0, 'Psychic': 1.0, 'Bug': 1.0, 'Rock': 1.0, 'Ghost': 0.0, 'Dragon': 1.0, 'Dark': 1.0, 'Steel': 1.0, 'Fairy': 1.0}",['Fighting'],[],['Ghost']
Eevee,Normal,,['Fighting'],['Ghost'],,,,,"{'Normal': 1.0, 'Fire': 1.0, 'Water': 1.0, 'Electric': 1.0, 'Grass': 1.0, 'Ice': 1.0, 'Fighting': 2.0, 'Poison': 1.0, 'Ground': 1.0, 'Flying': 1.0, 'Psychic': 1.0, 'Bug': 1.0, 'Rock': 1.0, 'Ghost': 0.0, 'Dragon': 1.0, 'Dark': 1.0, 'Steel': 1.0, 'Fairy': 1.0}",['Fighting'],[],['Ghost']
Eevee Partner  Eevee,Normal,,['Fighting'],['Ghost'],,,,,"{'Normal': 1.0, 'Fire': 1.0, 'Water': 1.0, 'Electric': 1.0, 'Grass': 1.0, 'Ice': 1.0, 'Fighting': 2.0, 'Poison': 1.0, 'Ground': 1.0, 'Flying': 1.0, 'Psychic': 1.0, 'Bug': 1.0, 'Rock': 1.0, 'Ghost': 0.0, 'Dragon': 1.0, 'Dark': 1.0, 'Steel': 1.0, 'Fairy': 1.0}",['Fighting'],[],['Ghost']
Vaporeon,Water,,"['Electric', 'Grass']",,"['Fire', 'Water', 'Ice', 'Steel']",,,,"{'Normal': 1.0, 'Fire': 0.5, 'Water': 0.5, 'Electric': 2.0, 'Grass': 2.0, 'Ice': 0.5, 'Fighting': 1.0, 'Poison': 1.0, 'Ground': 1.0, 'Flying': 1.0, 'Psychic': 1.0, 'Bug': 1.0, 'Rock': 1.0, 'Ghost': 1.0, 'Dragon': 1.0, 'Dark': 1.0, 'Steel': 0.5, 'Fairy': 1.0}","['Electric', 'Grass']","['Fire', 'Water', 'Ice', 'Steel']",[]
Jolteon,Electric,,['Ground'],,"['Electric', 'Flying', 'Steel']",,,,"{'Normal': 1.0, 'Fire': 1.0, 'Water': 1.0, 'Electric': 0.5, 'Grass': 1.0, 'Ice': 1.0, 'Fighting': 1.0, 'Poison': 1.0, 'Ground': 2.0, 'Flying': 0.5, 'Psychic': 1.0, 'Bug': 1.0, 'Rock': 1.0, 'Ghost': 1.0, 'Dragon': 1.0, 'Dark': 1.0, 'Steel': 0.5, 'Fairy': 1.0}",['Ground'],"['Electric', 'Flying', 'Steel']",[]
Flareon,Fire,,"['Water', 'Ground', 'Rock']",,"['Fire', 'Grass', 'Ice', 'Bug', 'Steel', 'Fairy']",,,,"{'Normal': 1.0, 'Fire': 0.5, 'Water': 2.0, 'Electric': 1.0, 'Grass': 0.5, 'Ice': 0.5, 'Fighting': 1.0, 'Poison': 1.0, 'Ground': 2.0, 'Flying': 1.0, 'Psychic': 1.0, 'Bug': 0.5, 'Rock': 2.0, 'Ghost': 1.0, 'Dragon': 1.0, 'Dark': 1.0, 'Steel': 0.5, 'Fairy': 0.5}","['Water', 'Ground', 'Rock']","['Fire', 'Grass', 'Ice', 'Bug', 'Steel', 'Fairy']",[]
Porygon,Normal,,['Fighting'],['Ghost'],,,,,"{'Normal': 1.0, 'Fire': 1.0, 'Water': 1.0, 'Electric': 1.0, 'Grass': 1.0, 'Ice': 1.0, 'Fighting': 2.0, 'Poison': 1.0, 'Ground': 1.0, 'Flying': 1.0, 'Psychic': 1.0, 'Bug': 1.0, 'Rock': 1.0, 'Ghost': 0.0, 'Dragon': 1.0, 'Dark': 1.0, 'Steel': 1.0, 'Fairy': 1.0}",['Fighting'],[],['Ghost']
Omanyte,Rock,Water,"['Water', 'Grass', 'Fighting', 'Ground', 'Steel']",,"['Normal', 'Fire', 'Poison', 'Flying']","['Electric', 'Grass']",,"['Fire', 'Water', 'Ice', 'Steel']","{'Normal': 0.5, 'Fire': 0.25, 'Water': 1.0, 'Electric': 2.0, 'Grass': 4.0, 'Ice': 0.5, 'Fighting': 2.0, 'Poison': 0.5, 'Ground': 2.0, 'Flying': 0.5, 'Psychic': 1.0, 'Bug': 1.0, 'Rock': 1.0, 'Ghost': 1.0, 'Dragon': 1.0, 'Dark': 1.0, 'Steel': 1.0, 'Fairy': 1.0}","['Electric', 'Grass', 'Fighting', 'Ground']","['Normal', 'Fire', 'Ice', 'Poison', 'Flying']",[]
Omastar,Rock,Water,"['Water', 'Grass', 'Fighting', 'Ground', 'Steel']",,"['Normal', 'Fire', 'Poison', 'Flying']","['Electric', 'Grass']",,"['Fire', 'Water', 'Ice', 'Steel']","{'Normal': 0.5, 'Fire': 0.25, 'Water': 1.0, 'Electric': 2.0, 'Grass': 4.0, 'Ice': 0.5, 'Fighting': 2.0, 'Poison': 0.5, 'Ground': 2.0, 'Flying': 0.5, 'Psychic': 1.0, 'Bug': 1.0, 'Rock': 1.0, 'Ghost': 1.0, 'Dragon': 1.0, 'Dark': 1.0, 'Steel': 1.0, 'Fairy': 1.0}","['Electric', 'Grass', 'Fighting', 'Ground']","['Normal', 'Fire', 'Ice', 'Poison', 'Flying']",[]
Kabuto,Rock,Water,"['Water', 'Grass', 'Fighting', 'Ground', 'Steel']",,"['Normal', 'Fire', 'Poison', 'Flying']","['Electric', 'Grass']",,"['Fire', 'Water', 'Ice', 'Steel']","{'Normal': 0.5, 'Fire': 0.25, 'Water': 1.0, 'Electric': 2.0, 'Grass': 4.0, 'Ice': 0.5, 'Fighting': 2.0, 'Poison': 0.5, 'Ground': 2.0, 'Flying': 0.5, 'Psychic': 1.0, 'Bug': 1.0, 'Rock': 1.0, 'Ghost': 1.0, 'Dragon': 1.0, 'Dark': 1.0, 'Steel': 1.0, 'Fairy': 1.0}","['Electric', 'Grass', 'Fighting', 'Ground']","['Normal', 'Fire', 'Ice', 'Poison', 'Flying']",[]
Kabutops,Rock,Water,"['Water', 'Grass', 'Fighting', 'Ground', 'Steel']",,"['Normal', 'Fire', 'Poison', 'Flying']","['Electric', 'Grass']",,"['Fire', 'Water', 'Ice', 'Steel']","{'Normal': 0.5, 'Fire': 0.25, 'Water': 1.0, 'Electric': 2.0, 'Grass': 4.0, 'Ice': 0.5, 'Fighting': 2.0, 'Poison': 0.5, 'Ground': 2.0, 'Flying': 0.5, 'Psychic': 1.0, 'Bug': 1.0, 'Rock': 1.0, 'Ghost': 1.0, 'Dragon': 1.0, 'Dark': 1.0, 'Steel': 1.0, 'Fairy': 1.0}","['Electric', 'Grass', 'Fighting', 'Ground']","['Normal', 'Fire', 'Ice', 'Poison', 'Flying']",[]
Aerodactyl,Rock,Flying,"['Water', 'Grass', 'Fighting', 'Ground', 'Steel']",,"['Normal', 'Fire', 'Poison', 'Flying']","['Electric', 'Ice', 'Rock']",['Ground'],"['Grass', 'Fighting', 'Bug']","{'Normal': 0.5, 'Fire': 0.5, 'Water': 2.0, 'Electric': 2.0, 'Grass': 1.0, 'Ice': 2.0, 'Fighting': 1.0, 'Poison': 0.5, 'Ground': 0.0, 'Flying': 0.5, 'Psychic': 1.0, 'Bug': 0.5, 'Rock': 2.0, 'Ghost': 1.0, 'Dragon': 1.0, 'Dark': 1.0, 'Steel': 2.0, 'Fairy': 1.0}","['Water', 'Electric', 'Ice', 'Rock', 'Steel']","['Normal', 'Fire', 'Poison', 'Flying', 'Bug']",['Ground']
Aerodactyl Mega  Aerodactyl,Rock,Flying,"['Water', 'Grass', 'Fighting', 'Ground', 'Steel']",,"['Normal', 'Fire', 'Poison', 'Flying']","['Electric', 'Ice', 'Rock']",['Ground'],"['Grass', 'Fighting', 'Bug']","{'Normal': 0.5, 'Fire': 0.5, 'Water': 2.0, 'Electric': 2.0, 'Grass': 1.0, 'Ice': 2.0, 'Fighting': 1.0, 'Poison': 0.5, 'Ground': 0.0, 'Flying': 0.5, 'Psychic': 1.0, 'Bug': 0.5, 'Rock': 2.0, 'Ghost': 1.0, 'Dragon': 1.0, 'Dark': 1.0, 'Steel': 2.0, 'Fairy': 1.0}","['Water', 'Electric', 'Ice', 'Rock', 'Steel']","['Normal', 'Fire', 'Poison', 'Flying', 'Bug']",['Ground']
Snorlax,Normal,,['Fighting'],['Ghost'],,,,,"{'Normal': 1.0, 'Fire': 1.0, 'Water': 1.0, 'Electric': 1.0, 'Grass': 1.0, 'Ice': 1.0, 'Fighting': 2.0, 'Poison': 1.0, 'Ground': 1.0, 'Flying': 1.0, 'Psychic': 1.0, 'Bug': 1.0, 'Rock': 1.0, 'Ghost': 0.0, 'Dragon': 1.0, 'Dark': 1.0, 'Steel': 1.0, 'Fairy': 1.0}",['Fighting'],[],['Ghost']
Articuno,Ice,Flying,"['Fire', 'Fighting', 'Rock', 'Steel']",,['Ice'],"['Electric', 'Ice', 'Rock']",['Ground'],"['Grass', 'Fighting', 'Bug']","{'Normal': 1.0, 'Fire': 2.0, 'Water': 1.0, 'Electric': 2.0, 'Grass': 0.5, 'Ice': 1.0, 'Fighting': 1.0, 'Poison': 1.0, 'Ground': 0.0, 'Flying': 1.0, 'Psychic': 1.0, 'Bug': 0.5, 'Rock': 4.0, 'Ghost': 1.0, 'Dragon': 1.0, 'Dark': 1.0, 'Steel': 2.0, 'Fairy': 1.0}","['Fire', 'Electric', 'Rock', 'Steel']","['Grass', 'Bug']",['Ground']
Articuno Galarian  Articuno,Psychic,Flying,"['Bug', 'Ghost', 'Dark']",,"['Fighting', 'Psychic']","['Electric', 'Ice', 'Rock']",['Ground'],"['Grass', 'Fighting', 'Bug']","{'Normal': 1.0, 'Fire': 1.0, 'Water': 1.0, 'Electric': 2.0, 'Grass': 0.5, 'Ice': 2.0, 'Fighting': 0.25, 'Poison': 1.0, 'Ground': 0.0, 'Flying': 1.0, 'Psychic': 0.5, 'Bug': 1.0, 'Rock': 2.0, 'Ghost': 2.0, 'Dragon': 1.0, 'Dark': 2.0, 'Steel': 1.0, 'Fairy': 1.0}","['Electric', 'Ice', 'Rock', 'Ghost', 'Dark']","['Grass', 'Fighting', 'Psychic']",['Ground']
Zapdos,Electric,Flying,['Ground'],,"['Electric', 'Flying', 'Steel']","['Electric', 'Ice', 'Rock']",['Ground'],"['Grass', 'Fighting', 'Bug']","{'Normal': 1.0, 'Fire': 1.0, 'Water': 1.0, 'Electric': 1.0, 'Grass': 0.5, 'Ice': 2.0, 'Fighting': 0.5, 'Poison': 1.0, 'Ground': 0.0, 'Flying': 0.5, 'Psychic': 1.0, 'Bug': 0.5, 'Rock': 2.0, 'Ghost': 1.0, 'Dragon': 1.0, 'Dark': 1.0, 'Steel': 0.5, 'Fairy': 1.0}","['Ice', 'Rock']","['Grass', 'Fighting', 'Flying', 'Bug', 'Steel']",['Ground']
Zapdos Galarian  Zapdos,Fighting,Flying,"['Flying', 'Psychic', 'Fairy']",,"['Bug', 'Rock', 'Dark']","['Electric', 'Ice', 'Rock']",['Ground'],"['Grass', 'Fighting', 'Bug']","{'Normal': 1.0, 'Fire': 1.0, 'Water': 1.0, 'Electric': 2.0, 'Grass': 0.5, 'Ice': 2.0, 'Fighting': 0.5, 'Poison': 1.0, 'Ground': 0.0, 'Flying': 2.0, 'Psychic': 2.0, 'Bug': 0.25, 'Rock': 1.0, 'Ghost': 1.0, 'Dragon': 1.0, 'Dark': 0.5, 'Steel': 1.0, 'Fairy': 2.0}","['Electric', 'Ice', 'Flying', 'Psychic', 'Fairy']","['Grass', 'Fighting', 'Bug', 'Dark']",['Ground']
Moltres,Fire,Flying,"['Water', 'Ground', 'Rock']",,"['Fire', 'Grass', 'Ice', 'Bug', 'Steel', 'Fairy']","['Electric', 'Ice', 'Rock']",['Ground'],"['Grass', 'Fighting', 'Bug']","{'Normal': 1.0, 'Fire': 0.5, 'Water': 2.0, 'Electric': 2.0, 'Grass': 0.25, 'Ice': 1.0, 'Fighting': 0.5, 'Poison': 1.0, 'Ground': 0.0, 'Flying': 1.0, 'Psychic': 1.0, 'Bug': 0.25, 'Rock': 4.0, 'Ghost': 1.0, 'Dragon': 1.0, 'Dark': 1.0, 'Steel': 0.5, 'Fairy': 0.5}","['Water', 'Electric', 'Rock']","['Fire', 'Grass', 'Fighting', 'Bug', 'Steel', 'Fairy']",['Ground']
Moltres Galarian  Moltres,Dark,Flying,"['Fighting', 'Bug', 'Fairy']",['Psychic'],"['Ghost', 'Dark']","['Electric', 'Ice', 'Rock']",['Ground'],"['Grass', 'Fighting', 'Bug']","{'Normal': 1.0, 'Fire': 1.0, 'Water': 1.0, 'Electric': 2.0, 'Grass': 0.5, 'Ice': 2.0, 'Fighting': 1.0, 'Poison': 1.0, 'Ground': 0.0, 'Flying': 1.0, 'Psychic': 0.0, 'Bug': 1.0, 'Rock': 2.0, 'Ghost': 0.5, 'Dragon': 1.0, 'Dark': 0.5, 'Steel': 1.0, 'Fairy': 2.0}","['Electric', 'Ice', 'Rock', 'Fairy']","['Grass', 'Ghost', 'Dark']","['Ground', 'Psychic']"
Dratini,Dragon,,"['Ice', 'Dragon', 'Fairy']",,"['Fire', 'Water', 'Electric', 'Grass']",,,,"{'Normal': 1.0, 'Fire': 0.5, 'Water': 0.5, 'Electric': 0.5, 'Grass': 0.5, 'Ice': 2.0, 'Fighting': 1.0, 'Poison': 1.0, 'Ground': 1.0, 'Flying': 1.0, 'Psychic': 1.0, 'Bug': 1.0, 'Rock': 1.0, 'Ghost': 1.0, 'Dragon': 2.0, 'Dark': 1.0, 'Steel': 1.0, 'Fairy': 2.0}","['Ice', 'Dragon', 'Fairy']","['Fire', 'Water', 'Electric', 'Grass']",[]
Dragonair,Dragon,,"['Ice', 'Dragon', 'Fairy']",,"['Fire', 'Water', 'Electric', 'Grass']",,,,"{'Normal': 1.0, 'Fire': 0.5, 'Water': 0.5, 'Electric': 0.5, 'Grass': 0.5, 'Ice': 2.0, 'Fighting': 1.0, 'Poison': 1.0, 'Ground': 1.0, 'Flying': 1.0, 'Psychic': 1.0, 'Bug': 1.0, 'Rock': 1.0, 'Ghost': 1.0, 'Dragon': 2.0, 'Dark': 1.0, 'Steel': 1.0, 'Fairy': 2.0}","['Ice', 'Dragon', 'Fairy']","['Fire', 'Water', 'Electric', 'Grass']",[]
Dragonite,Dragon,Flying,"['Ice', 'Dragon', 'Fairy']",,"['Fire', 'Water', 'Electric', 'Grass']","['Electric', 'Ice', 'Rock']",['Ground'],"['Grass', 'Fighting', 'Bug']","{'Normal': 1.0, 'Fire': 0.5, 'Water': 0.5, 'Electric': 1.0, 'Grass': 0.25, 'Ice': 4.0, 'Fighting': 0.5, 'Poison': 1.0, 'Ground': 0.0, 'Flying': 1.0, 'Psychic': 1.0, 'Bug': 0.5, 'Rock': 2.0, 'Ghost': 1.0, 'Dragon': 2.0, 'Dark': 1.0, 'Steel': 1.0, 'Fairy': 2.0}","['Ice', 'Rock', 'Dragon', 'Fairy']","['Fire', 'Water', 'Grass', 'Fighting', 'Bug']",['Ground']
Dragonite Mega  Dragonite,Dragon,Flying,"['Ice', 'Dragon', 'Fairy']",,"['Fire', 'Water', 'Electric', 'Grass']","['Electric', 'Ice', 'Rock']",['Ground'],"['Grass', 'Fighting', 'Bug']","{'Normal': 1.0, 'Fire': 0.5, 'Water': 0.5, 'Electric': 1.0, 'Grass': 0.25, 'Ice': 4.0, 'Fighting': 0.5, 'Poison': 1.0, 'Ground': 0.0, 'Flying': 1.0, 'Psychic': 1.0, 'Bug': 0.5, 'Rock': 2.0, 'Ghost': 1.0, 'Dragon': 2.0, 'Dark': 1.0, 'Steel': 1.0, 'Fairy': 2.0}","['Ice', 'Rock', 'Dragon', 'Fairy']","['Fire', 'Water', 'Grass', 'Fighting', 'Bug']",['Ground']
Mewtwo,Psychic,,"['Bug', 'Ghost', 'Dark']",,"['Fighting', 'Psychic']",,,,"{'Normal': 1.0, 'Fire': 1.0, 'Water': 1.0, 'Electric': 1.0, 'Grass': 1.0, 'Ice': 1.0, 'Fighting': 0.5, 'Poison': 1.0, 'Ground': 1.0, 'Flying': 1.0, 'Psychic': 0.5, 'Bug': 2.0, 'Rock': 1.0, 'Ghost': 2.0, 'Dragon': 1.0, 'Dark': 2.0, 'Steel': 1.0, 'Fairy': 1.0}","['Bug', 'Ghost', 'Dark']","['Fighting', 'Psychic']",[]
Mewtwo Mega  Mewtwo  X,Psychic,Fighting,"['Bug', 'Ghost', 'Dark']",,"['Fighting', 'Psychic']","['Flying', 'Psychic', 'Fairy']",,"['Bug', 'Rock', 'Dark']","{'Normal': 1.0, 'Fire': 1.0, 'Water': 1.0, 'Electric': 1.0, 'Grass': 1.0, 'Ice': 1.0, 'Fighting': 0.5, 'Poison': 1.0, 'Ground': 1.0, 'Flying': 2.0, 'Psychic': 1.0, 'Bug': 1.0, 'Rock': 0.5, 'Ghost': 2.0, 'Dragon': 1.0, 'Dark': 1.0, 'Steel': 1.0, 'Fairy': 2.0}","['Flying', 'Ghost', 'Fairy']","['Fighting', 'Rock']",[]
Mewtwo Mega  Mewtwo  Y,Psychic,,"['Bug', 'Ghost', 'Dark']",,"['Fighting', 'Psychic']",,,,"{'Normal': 1.0, 'Fire': 1.0, 'Water': 1.0, 'Electric': 1.0, 'Grass': 1.0, 'Ice': 1.0, 'Fighting': 0.5, 'Poison': 1.0, 'Ground': 1.0, 'Flying': 1.0, 'Psychic': 0.5, 'Bug': 2.0, 'Rock': 1.0, 'Ghost': 2.0, 'Dragon': 1.0, 'Dark': 2.0, 'Steel': 1.0, 'Fairy': 1.0}","['Bug', 'Ghost', 'Dark']","['Fighting', 'Psychic']",[]
Mew,Psychic,,"['Bug', 'Ghost', 'Dark']",,"['Fighting', 'Psychic']",,,,"{'Normal': 1.0, 'Fire': 1.0, 'Water': 1.0, 'Electric': 1.0, 'Grass': 1.0, 'Ice': 1.0, 'Fighting': 0.5, 'Poison': 1.0, 'Ground': 1.0, 'Flying': 1.0, 'Psychic': 0.5, 'Bug': 2.0, 'Rock': 1.0, 'Ghost': 2.0, 'Dragon': 1.0, 'Dark': 2.0, 'Steel': 1.0, 'Fairy': 1.0}","['Bug', 'Ghost', 'Dark']","['Fighting', 'Psychic']",[]
Chikorita,Grass,,"['Fire', 'Ice', 'Poison', 'Flying', 'Bug']",,"['Water', 'Electric', 'Grass', 'Ground']",,,,"{'Normal': 1.0, 'Fire': 2.0, 'Water': 0.5, 'Electric': 0.5, 'Grass': 0.5, 'Ice': 2.0, 'Fighting': 1.0, 'Poison': 2.0, 'Ground': 0.5, 'Flying': 2.0, 'Psychic': 1.0, 'Bug': 2.0, 'Rock': 1.0, 'Ghost': 1.0, 'Dragon': 1.0, 'Dark': 1.0, 'Steel': 1.0, 'Fairy': 1.0}","['Fire', 'Ice', 'Poison', 'Flying', 'Bug']","['Water', 'Electric', 'Grass', 'Ground']",[]
Bayleef,Grass,,"['Fire', 'Ice', 'Poison', 'Flying', 'Bug']",,"['Water', 'Electric', 'Grass', 'Ground']",,,,"{'Normal': 1.0, 'Fire': 2.0, 'Water': 0.5, 'Electric': 0.5, 'Grass': 0.5, 'Ice': 2.0, 'Fighting': 1.0, 'Poison': 2.0, 'Ground': 0.5, 'Flying': 2.0, 'Psychic': 1.0, 'Bug': 2.0, 'Rock': 1.0, 'Ghost': 1.0, 'Dragon': 1.0, 'Dark': 1.0, 'Steel': 1.0, 'Fairy': 1.0}","['Fire', 'Ice', 'Poison', 'Flying', 'Bug']","['Water', 'Electric', 'Grass', 'Ground']",[]
Meganium,Grass,,"['Fire', 'Ice', 'Poison', 'Flying', 'Bug']",,"['Water', 'Electric', 'Grass', 'Ground']",,,,"{'Normal': 1.0, 'Fire': 2.0, 'Water': 0.5, 'Electric': 0.5, 'Grass': 0.5, 'Ice': 2.0, 'Fighting': 1.0, 'Poison': 2.0, 'Ground': 0.5, 'Flying': 2.0, 'Psychic': 1.0, 'Bug': 2.0, 'Rock': 1.0, 'Ghost': 1.0, 'Dragon': 1.0, 'Dark': 1.0, 'Steel': 1.0, 'Fairy': 1.0}","['Fire', 'Ice', 'Poison', 'Flying', 'Bug']","['Water', 'Electric', 'Grass', 'Ground']",[]
Cyndaquil,Fire,,"['Water', 'Ground', 'Rock']",,"['Fire', 'Grass', 'Ice', 'Bug', 'Steel', 'Fairy']",,,,"{'Normal': 1.0, 'Fire': 0.5, 'Water': 2.0, 'Electric': 1.0, 'Grass': 0.5, 'Ice': 0.5, 'Fighting': 1.0, 'Poison': 1.0, 'Ground': 2.0, 'Flying': 1.0, 'Psychic': 1.0, 'Bug': 0.5, 'Rock': 2.0, 'Ghost': 1.0, 'Dragon': 1.0, 'Dark': 1.0, 'Steel': 0.5, 'Fairy': 0.5}","['Water', 'Ground', 'Rock']","['Fire', 'Grass', 'Ice', 'Bug', 'Steel', 'Fairy']",[]
Quilava,Fire,,"['Water', 'Ground', 'Rock']",,"['Fire', 'Grass', 'Ice', 'Bug', 'Steel', 'Fairy']",,,,"{'Normal': 1.0, 'Fire': 0.5, 'Water': 2.0, 'Electric': 1.0, 'Grass': 0.5, 'Ice': 0.5, 'Fighting': 1.0, 'Poison': 1.0, 'Ground': 2.0, 'Flying': 1.0, 'Psychic': 1.0, 'Bug': 0.5, 'Rock': 2.0, 'Ghost': 1.0, 'Dragon': 1.0, 'Dark': 1.0, 'Steel': 0.5, 'Fairy': 0.5}","['Water', 'Ground', 'Rock']","['Fire', 'Grass', 'Ice', 'Bug', 'Steel', 'Fairy']",[]
Typhlosion,Fire,,"['Water', 'Ground', 'Rock']",,"['Fire', 'Grass', 'Ice', 'Bug', 'Steel', 'Fairy']",,,,"{'Normal': 1.0, 'Fire': 0.5, 'Water': 2.0, 'Electric': 1.0, 'Grass': 0.5, 'Ice': 0.5, 'Fighting': 1.0, 'Poison': 1.0, 'Ground': 2.0, 'Flying': 1.0, 'Psychic': 1.0, 'Bug': 0.5, 'Rock': 2.0, 'Ghost': 1.0, 'Dragon': 1.0, 'Dark': 1.0, 'Steel': 0.5, 'Fairy': 0.5}","['Water', 'Ground', 'Rock']","['Fire', 'Grass', 'Ice', 'Bug', 'Steel', 'Fairy']",[]
